row_index,dataset,confidence_mean,accuracy_mean
0,cars,0.404038595958729,1.0
1,cars,0.4006312163971695,1.0
2,flowers,0.5854629768987021,0.5
3,flowers,0.2900730768775352,0.5
4,cars,0.917711590906582,0.6451612903225806
5,dmc,0.5554275163853509,0.2383808095952024
6,dmc,0.5796837356350379,0.5284697508896797
7,cars,0.2964429843228936,0.1251489868891537
8,flowers,0.947445364113637,0.7272727272727273
9,dmc,0.3767979616800894,0.5655430711610487
10,cars,0.7153319814171013,0.803347280334728
11,flowers,0.3895640028348895,0.5
12,dmc,0.3545689292494023,0.5121951219512195
13,dmc,0.5603109552782843,0.6219512195121951
14,flowers,0.3729771786819892,0.5
15,flowers,0.4527381613371093,0.4259259259259259
16,cars,0.3266335098946925,0.3798882681564245
17,flowers,0.9226259121475744,0.8181818181818182
18,flowers,1.0,1.0
19,cars,0.3873884751929093,0.8583333333333333
20,flowers,0.3461044607832068,0.9
21,dmc,0.5288594286021084,0.5907335907335908
22,flowers,1.0,0.9
23,dmc,0.3809227901318366,0.2867647058823529
24,flowers,0.4046096751916896,0.9
25,flowers,0.3732520015427956,1.0
26,dmc,0.9078514966882236,0.3550724637681159
27,cars,0.362623685484828,0.8192771084337349
28,cars,0.892443459442363,0.4653465346534653
29,cars,0.8459129327976376,0.75
30,flowers,0.745976758856761,0.625
31,flowers,0.4046096751916896,1.0
32,dmc,0.4360174934611867,0.6720496894409937
33,cars,0.5683184496227857,0.0976253298153034
34,dmc,0.5487750858387747,0.497131931166348
35,dmc,0.5285643638286793,0.8229166666666666
36,cars,0.4209323864462256,0.3785900783289817
37,cars,0.2979959433347247,0.1834319526627219
38,flowers,1.0,1.0
39,dmc,1.0,0.7035714285714286
40,flowers,0.3703929835608973,0.6938775510204082
41,dmc,0.750248527152428,0.8976982097186701
42,flowers,0.884705633586995,1.0
43,cars,0.3605784874909929,0.5784313725490197
44,dmc,0.8977306808526552,0.7092651757188498
45,cars,0.3716196491894517,0.73125
46,dmc,0.4569188435232811,0.6469816272965879
47,dmc,0.7510738742111758,0.4470899470899471
48,flowers,0.8576093843709659,0.75
49,flowers,0.3560735909386192,0.8
50,dmc,0.7052226516195718,0.5876288659793815
51,cars,0.2786444938130333,0.3333333333333333
52,flowers,0.4045492382982331,0.8
53,flowers,0.3670549089734628,0.7
54,cars,0.3411014602939338,0.7380952380952381
55,cars,1.0,1.0
56,dmc,0.4653618397087851,0.5649122807017544
57,flowers,0.3172388966520645,0.7959183673469388
58,dmc,0.4137726372549172,0.1771653543307086
59,flowers,0.382080874462808,0.8163265306122449
60,flowers,1.0,0.9
61,flowers,0.8141024508062108,0.7857142857142857
62,dmc,0.446735264684854,0.6766541822721598
63,flowers,0.3966477830696756,0.5
64,flowers,0.3839133178634975,0.7
65,dmc,0.7775741856778783,0.485254691689008
66,dmc,0.5567308442123848,0.6838235294117647
67,cars,0.3833412885427035,0.7828571428571428
68,cars,1.0,0.6687116564417178
69,cars,0.8065363427388452,0.8571428571428571
70,cars,0.9438032850868668,0.4975124378109453
71,dmc,0.4428326882671208,0.5660714285714286
72,dmc,0.7138477430385012,0.7175
73,dmc,1.0,0.5
74,dmc,0.4379779925276461,0.6850393700787402
75,dmc,0.5535964718032964,0.7496839443742098
76,flowers,0.2866202920071499,0.3
77,dmc,0.4849711118170425,0.7440944881889764
78,flowers,0.95110155975091,0.2727272727272727
79,flowers,0.2778568591554441,0.7
80,dmc,0.4100073547925789,0.2475083056478405
81,flowers,0.400680697355988,0.7
82,dmc,0.4340559107440592,0.9050632911392406
83,dmc,0.5514619822920999,0.5038461538461538
84,dmc,0.5953794013089155,0.6946564885496184
85,cars,0.8130245009039592,0.5534883720930233
86,dmc,0.4679585221330343,0.6138059701492538
87,cars,0.906601101824256,0.7912621359223301
88,flowers,0.910352859543335,1.0
89,cars,0.275345692959061,0.3688524590163934
90,dmc,0.4468235393612352,0.6795366795366795
91,dmc,0.5343028198019214,0.5748031496062992
92,cars,0.6385296246278024,0.572992700729927
93,flowers,0.3955971942259726,0.8
94,dmc,0.5168601360534975,0.6559633027522935
95,flowers,0.4040079855676451,0.9
96,flowers,0.7335562519119461,0.8461538461538461
97,cars,1.0,1.0
98,cars,1.0,1.0
99,cars,0.3574623714871736,0.3333333333333333
100,cars,0.3023758362294703,0.6914285714285714
101,flowers,1.0,0.7
102,flowers,0.380053367363151,0.8888888888888888
103,flowers,0.4046096751916896,0.2
104,cars,0.8706661438544421,0.929245283018868
105,flowers,0.395793516641595,0.8
106,dmc,0.5279329885190104,0.7515527950310559
107,flowers,0.3854291945672364,1.0
108,dmc,0.7763222748594486,0.6
109,dmc,0.5673206158895223,0.8050541516245487
110,dmc,0.6986103671784806,0.6181434599156118
111,dmc,0.3550440407036064,0.4776951672862453
112,cars,0.2919003510900733,0.5285714285714286
113,cars,0.7418032786885246,0.6270491803278688
114,flowers,0.2192973439053804,0.125
115,flowers,0.4046096751916896,1.0
116,cars,0.8872250150580269,0.4413145539906103
117,cars,0.3442979957462105,0.8647058823529412
118,dmc,0.4539141809661743,0.7565543071161048
119,cars,0.4046096751916896,0.5542168674698795
120,cars,0.4017986440359514,0.7828571428571428
121,dmc,0.5688538250105354,0.4982758620689655
122,dmc,0.4340839533185956,0.4428571428571428
